year,position,team,match
2008,1,RR,14
2008,2,PBKS,14
2008,3,CSK,14
2008,4,DD,14
2008,5,MI,14
2008,6,KKR,14
2008,7,RCB,14
2008,8,DEC,14
2009,1,DD,14
2009,2,CSK,14
2009,3,RCB,14
2009,4,DEC,14
2009,5,PBKS,14
2009,6,RR,14
2009,7,MI,14
2009,8,KKR,14
2010,1,MI,14
2010,2,DEC,14
2010,3,CSK,14
2010,4,RCB,14
2010,5,DD,14
2010,6,KKR,14
2010,7,RR,14
2010,8,PBKS,14
2011,1,RCB,14
2011,2,CSK,14
2011,3,MI,14
2011,4,KKR,14
2011,5,PBKS,14
2011,6,RR,14
2011,7,DEC,14
2011,8,KTK,14
2011,9,PWI,14
2011,10,DD,14
2012,1,DD,16
2012,2,KKR,16
2012,3,MI,16
2012,4,CSK,16
2012,5,RCB,16
2012,6,PBKS,16
2012,7,RR,16
2012,8,DEC,16
2012,9,PWI,16
2013,1,CSK,16
2013,2,MI,16
2013,3,RR,16
2013,4,SRH,16
2013,5,RCB,16
2013,6,PBKS,16
2013,7,KKR,16
2013,8,PWI,16
2013,9,DD,16
2014,1,PBKS,14
2014,2,KKR,14
2014,3,CSK,14
2014,4,MI,14
2014,5,RR,14
2014,6,SRH,14
2014,7,RCB,14
2014,8,DD,14
2015,1,CSK,14
2015,2,MI,14
2015,3,RCB,14
2015,4,RR,14
2015,5,KKR,14
2015,6,SRH,14
2015,7,DD,14
2015,8,PBKS,14
2016,1,GL,14
2016,2,RCB,14
2016,3,SRH,14
2016,4,KKR,14
2016,5,MI,14
2016,6,DD,14
2016,7,RPS,14
2016,8,PBKS,14
2017,1,MI,14
2017,2,RPS,14
2017,3,SRH,14
2017,4,KKR,14
2017,5,PBKS,14
2017,6,DD,14
2017,7,GL,14
2017,8,RCB,14
2018,1,SRH,14
2018,2,CSK,14
2018,3,KKR,14
2018,4,RR,14
2018,5,MI,14
2018,6,RCB,14
2018,7,PBKS,14
2018,8,DD,14
2019,1,MI,14
2019,2,CSK,14
2019,3,DC,14
2019,4,SRH,14
2019,5,KKR,14
2019,6,PBKS,14
2019,7,RR,14
2019,8,RCB,14
2020,1,MI,14
2020,2,DC,14
2020,3,SRH,14
2020,4,RCB,14
2020,5,KKR,14
2020,6,PBKS,14
2020,7,CSK,14
2020,8,RR,14
2021,1,DC,14
2021,2,CSK,14
2021,3,RCB,14
2021,4,KKR,14
2021,5,MI,14
2021,6,PBKS,14
2021,7,RR,14
2021,8,SRH,14
2022,1,GT,14
2022,2,RR,14
2022,3,LSG,14
2022,4,RCB,14
2022,5,DC,14
2022,6,PBKS,14
2022,7,KKR,14
2022,8,SRH,14
2022,9,CSK,14
2022,10,MI,14
2023,1,,GT
2023,2,,CSK
2023,3,,LSG
2023,4,,MI
2023,5,,RR
2023,6,,RCB
2023,7,,KKR
2023,8,,PBKS
2023,9,,DC
2023,10,,SRH
2024,1,,KKR
2024,2,,SRH
2024,3,,RR
2024,4,,RCB
2024,5,,CSK
2024,6,,DC
2024,7,,LSG
2024,8,,GT
2024,9,,PBKS
2024,10,,MI
